address	label	AdONE	ANOMALOUS	CoLA	CONAD	DOMINANT	DONE	GAAN	GCNAE	MLPAE	Radar	SCAN
0xbcb38d60623f688badfe019b1d0ef73fd9ea34dc	0	1.0	0.0	0.03232197617266567	1.0	0.9999831724734469	1.0	0.0	1.0	0.0	0.0	0.0
0x09004228e526e9a42d71495cc1ada467b89dd5d9	0	0.0	0.0	0.03232197617266567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0x6db4349c2bbdee525e080f63096fc30754cd95d9	0	0.0	0.0	0.03232197617266567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0x5454c084e0f96ed65a84f3b36f9fcd39f4263902	0	0.08705844135601364	0.0	0.03232197617266567	0.9998763900105391	0.5057553083121487	0.06533209109471032	0.0	0.6531337416455585	0.0	0.0	0.0
0xa746d613d9b3a267ad470e5ce980dbc12473247c	1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0x4886df279cc4946941e26de30b4011a2e92d2009	1	0.0	0.0	0.03232197617266567	0.6542461926677403	0.0	0.0	0.0	0.0	0.0	0.0	0.9981196904317962
0xf6713f25d2dfb22029a3d1ee8996f33f2705e494	1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0x88876f5ebac0c2cc7c6caca809765034f4027b20	0	0.0	0.0	0.03232197617266567	0.01204135581307566	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0x8e862c9e7ba8923d3c8cf17a874aa88cf63b62fe	0	0.0	0.0	0.03232197617266567	0.5279356662572156	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0x7463f2f837148131297b0847cd90dcf0ae9a06fe	0	0.0	0.0	0.03232197617266567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9981196904317962
0x7d3da498c77a7ff6b3ed8358cdf1464e6f3e74b6	0	0.0	0.05601492524147034	0.03232197617266567	0.8350158284986646	0.0	0.0	0.0	0.07665336302572473	0.0	0.05601492524147034	0.0
0xcdba82888e4698c485abacf8c7ad87dc2221f378	1	0.0	0.0	0.061107590844885776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0xa32dad37b3027760b8429ca6fb2189db8a28f259	0	0.0	0.0	0.03232197617266567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0x1616ac76b906000486918b8da7caaa81c9ee64bb	0	0.0	0.0	0.03293392341108047	0.25705913587569734	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0x50af0b16798db768f38e194f5674d95e60f4b8fc	0	0.0	0.0	0.03232197617266567	0.6190594851107607	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0x67fdeda858e1160ba88dda9b9626035c65dc7607	1	0.0	0.0	0.03232197617266567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0x80658e3657882cfa73fff0eb20c92aa5e948230c	0	0.0	0.0	0.03232197617266567	0.9999999999999788	0.9594444077364578	0.0	0.0	0.9997028158444796	0.0	0.0	0.0
0xc8decbfa133f71c2fe94aa8fcd87167d81dc4aef	0	0.0	0.0	0.03232197617266567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9981196904317962
0x2c7e6e3a06dbd214c19001d393b5d2d061e02c3c	0	0.0	0.0	0.03232197617266567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0xc89c20d73ca84e3bbe59c83f3a3ff33d1ab74f83	0	0.0	0.0	0.03232197617266567	0.9497964656582017	0.006929668536921537	0.0	0.0	0.14819650808169843	0.0	0.0	0.0
0x7b9d7dee64c64714bcecf34f4f516ff18fdc40b9	0	0.0	0.0	0.03232197617266567	0.7506337323781335	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0xe2bca95f5f33a981aaf51372b9596ff3837e0a5c	1	0.0	0.0	0.03232197617266567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0x97e120954e31c931ea4665284fc7ebd266e0b464	0	0.0	0.0	0.03232197617266567	0.9951996062281188	0.24976353936030113	0.0	0.0	0.33913524546997825	0.0	0.0	0.0
0x1654202187fa9a31af477dd1645819aa51e80ad4	0	0.0	0.0	0.03232197617266567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9981196904317962
0x4e54dade6a40b503995d2f9a75fa62f7dc94db1b	0	0.0	0.0	0.03232197617266567	0.33015346170910403	0.0	0.0	0.0	0.0	0.0	0.0	0.9981196904317962
0x82d36c736eee04d4c33dc256db147cc5a1cf9326	0	0.0	0.0	0.03232197617266567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0x6cc7979d399a436f7f19ad215c1f892d9789fcf7	0	0.0	0.301193505525589	0.03232197617266567	0.8909290786799217	0.0	0.0	0.0	0.0804989795441391	0.0	0.301193505525589	0.9981196904317962
0x3e56033f51ef9c178be146a7d1346960472e335f	0	0.0	0.0	0.03232197617266567	0.2426532862522933	0.0	0.0	0.0	0.0	0.0	0.0	0.9981196904317962
0x5894bdce0281b672afc6ee76841088d6719df7cf	0	0.0	0.0	0.03232197617266567	0.6550692742356409	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0x4a1e2d2621cf18d46257fc20bdb777c96fa40a6f	0	0.0	0.2508199214935303	0.03232197617266567	0.9971220219833421	0.2926339412048007	0.0	0.0	0.4146561940854032	0.0	0.2508199214935303	0.0
0xbe6ac3a3f7605d34313d6693f69b772deacb105a	0	0.0	0.0	0.03232197617266567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9981196904317962
